Namespace(dump_schedule=False, process_time_file='process_times.txt', workflow_file='input.json')
  k  schedule                                                                                                                        g_j with no immediate successors
---  ------------------------------------------------------------------------------------------------------------------------------  --------------------------------------------------------------
 33  [33]                                                                                                                            {33: 218.61}
 32  [0, 33]                                                                                                                         {0: 82.87, 2: 236.87, 5: 183.87}
 31  [1, 0, 33]                                                                                                                      {1: 167.8, 2: 231.8, 5: 178.8}
 30  [4, 1, 0, 33]                                                                                                                   {2: 220.69, 4: 145.69, 5: 167.69}
 29  [11, 4, 1, 0, 33]                                                                                                               {2: 214.97, 5: 161.97, 10: 0, 11: 0, 23: 91.97}
 28  [12, 11, 4, 1, 0, 33]                                                                                                           {2: 213.31, 5: 160.31, 10: 0, 12: 0, 23: 90.31}
 27  [10, 12, 11, 4, 1, 0, 33]                                                                                                       {2: 208.25, 5: 155.25, 10: 0, 13: 153.25, 23: 85.25}
 26  [14, 10, 12, 11, 4, 1, 0, 33]                                                                                                   {2: 202.52, 5: 149.52, 13: 147.52, 14: 0, 23: 79.52}
 25  [23, 14, 10, 12, 11, 4, 1, 0, 33]                                                                                               {2: 196.8, 5: 143.8, 13: 141.8, 15: 180.8, 23: 73.8}
 24  [24, 23, 14, 10, 12, 11, 4, 1, 0, 33]                                                                                           {2: 191.07, 5: 138.07, 13: 136.07, 15: 175.07, 24: 0.07}
 23  [25, 24, 23, 14, 10, 12, 11, 4, 1, 0, 33]                                                                                       {2: 168.46, 5: 115.46, 13: 113.46, 15: 152.46, 25: 0}
 22  [26, 25, 24, 23, 14, 10, 12, 11, 4, 1, 0, 33]                                                                                   {2: 157.35, 5: 104.35, 13: 102.35, 15: 141.35, 26: 0}
 21  [27, 26, 25, 24, 23, 14, 10, 12, 11, 4, 1, 0, 33]                                                                               {2: 155.7, 5: 102.7, 13: 100.7, 15: 139.7, 27: 29.7}
 20  [28, 27, 26, 25, 24, 23, 14, 10, 12, 11, 4, 1, 0, 33]                                                                           {2: 150.63, 5: 97.63, 13: 95.63, 15: 134.63, 28: 0}
 19  [30, 28, 27, 26, 25, 24, 23, 14, 10, 12, 11, 4, 1, 0, 33]                                                                       {2: 135.89, 5: 82.89, 13: 80.89, 15: 119.89, 29: 0, 30: 0}
 18  [29, 30, 28, 27, 26, 25, 24, 23, 14, 10, 12, 11, 4, 1, 0, 33]                                                                   {2: 124.78, 5: 71.78, 13: 69.78, 15: 108.78, 29: 0, 31: 40.78}
 17  [31, 29, 30, 28, 27, 26, 25, 24, 23, 14, 10, 12, 11, 4, 1, 0, 33]                                                               {2: 123.13, 5: 70.13, 13: 68.13, 15: 107.13, 31: 39.13}
 16  [13, 31, 29, 30, 28, 27, 26, 25, 24, 23, 14, 10, 12, 11, 4, 1, 0, 33]                                                           {2: 118.06, 5: 65.06, 13: 63.06, 15: 102.06}
 15  [5, 13, 31, 29, 30, 28, 27, 26, 25, 24, 23, 14, 10, 12, 11, 4, 1, 0, 33]                                                        {2: 112.99, 5: 59.99, 15: 96.99}
 14  [6, 5, 13, 31, 29, 30, 28, 27, 26, 25, 24, 23, 14, 10, 12, 11, 4, 1, 0, 33]                                                     {2: 111.34, 6: 0, 15: 95.34}
