  k  schedule                                                                                                                         g_j with no immediate successors
---  -------------------------------------------------------------------------------------------------------------------------------  ----------------------------------------------------------
 33  [34]                                                                                                                             {34: 218.61}
 32  [1, 34]                                                                                                                          {1: 82.87, 3: 236.87, 6: 183.87}
 31  [2, 1, 34]                                                                                                                       {2: 167.8, 3: 231.8, 6: 178.8}
 30  [5, 2, 1, 34]                                                                                                                    {3: 220.69, 5: 145.69, 6: 167.69}
 29  [12, 5, 2, 1, 34]                                                                                                                {3: 214.97, 6: 161.97, 11: 0, 12: 0, 24: 91.97}
 28  [13, 12, 5, 2, 1, 34]                                                                                                            {3: 213.31, 6: 160.31, 11: 0, 13: 0, 24: 90.31}
 27  [11, 13, 12, 5, 2, 1, 34]                                                                                                        {3: 208.25, 6: 155.25, 11: 0, 14: 153.25, 24: 85.25}
 26  [15, 11, 13, 12, 5, 2, 1, 34]                                                                                                    {3: 202.52, 6: 149.52, 14: 147.52, 15: 0, 24: 79.52}
 25  [24, 15, 11, 13, 12, 5, 2, 1, 34]                                                                                                {3: 196.8, 6: 143.8, 14: 141.8, 16: 180.8, 24: 73.8}
 24  [25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                                                                            {3: 191.07, 6: 138.07, 14: 136.07, 16: 175.07, 25: 0.07}
 23  [26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                                                                        {3: 168.46, 6: 115.46, 14: 113.46, 16: 152.46, 26: 0}
 22  [27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                                                                    {3: 157.35, 6: 104.35, 14: 102.35, 16: 141.35, 27: 0}
 21  [28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                                                                {3: 155.7, 6: 102.7, 14: 100.7, 16: 139.7, 28: 29.7}
 20  [29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                                                            {3: 150.63, 6: 97.63, 14: 95.63, 16: 134.63, 29: 0}
 19  [30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                                                        {3: 135.89, 6: 82.89, 14: 80.89, 16: 119.89, 30: 0, 31: 0}
 18  [31, 30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                                                    {3: 134.23, 6: 81.23, 14: 79.23, 16: 118.23, 31: 0}
 17  [32, 31, 30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                                                {3: 123.13, 6: 70.13, 14: 68.13, 16: 107.13, 32: 39.13}
 16  [14, 32, 31, 30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                                            {3: 118.06, 6: 65.06, 14: 63.06, 16: 102.06}
 15  [6, 14, 32, 31, 30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                                         {3: 112.99, 6: 59.99, 16: 96.99}
 14  [7, 6, 14, 32, 31, 30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                                      {3: 111.34, 7: 0, 16: 95.34}
 13  [8, 7, 6, 14, 32, 31, 30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                                   {3: 92.79, 8: 0, 16: 76.79}
 12  [9, 8, 7, 6, 14, 32, 31, 30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                                {3: 87.06, 9: 0, 16: 71.06}
 11  [10, 9, 8, 7, 6, 14, 32, 31, 30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                            {3: 72.32, 10: 0, 16: 56.32}
 10  [16, 10, 9, 8, 7, 6, 14, 32, 31, 30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                        {3: 66.6, 16: 50.6}
  9  [17, 16, 10, 9, 8, 7, 6, 14, 32, 31, 30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                    {3: 51.85, 17: 0}
  8  [18, 17, 16, 10, 9, 8, 7, 6, 14, 32, 31, 30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                                {3: 37.11, 18: 0}
  7  [21, 18, 17, 16, 10, 9, 8, 7, 6, 14, 32, 31, 30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                            {3: 22.37, 19: 0, 21: 0}
  6  [22, 21, 18, 17, 16, 10, 9, 8, 7, 6, 14, 32, 31, 30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                        {3: 20.71, 19: 0, 22: 0}
  5  [19, 22, 21, 18, 17, 16, 10, 9, 8, 7, 6, 14, 32, 31, 30, 29, 28, 27, 26, 25, 24, 15, 11, 13, 12, 5, 2, 1, 34]                    {3: 15.65, 19: 0, 23: 0}
